name;team;9.5.2004;8.5.2005;30.4.2006;27.5.2007;17.5.2008;23.5.2009;22.5.2010;28.5.2011;3.6.2012;2.6.2013;1.6.2014;30.5.2015;gender
Kiwis;Mallorn, Válcovny;15;14;6;13;-;-;-;-;-;-;16;-;man
Martin;Orion, 12tka;10;5;10;8;-;7;-;6;9;9;-;-;man
Bris;A je to Ch, Ufobazar;;;;2;4;3;7;5;8;9;4;22;man
Jura;Odpad;1;3;4;9;6;1;5;5;8;5;6;11;man
Mates;Odpad;;;;;1;5;9;14;13;21;-;-;man
Malmed;Hrana, Poivaèní Samci;-;-;4;3;6;5;7;1;8;13;12;4;man
Fanda;Odpad;0;0;2;3;8;11;7;6;5;9;11;-;man
Salw;Aštar, Koata, Topinambur;-;2;0;5;-;7;7;5;14;21;-;-;man
Vikki;Telefonní èíslo, A je to, Ufobazar;11;11;-;-;-;-;7;3;10;8;8;-;man
Radek;Orion, Orion 2, Hot Dogs, Do hlavy ne, Díra v tichu;7;0;7;6;12;-;2;-;12;8;-;-;man
Orwen;Hrana, A je to V, Ufobazar;;;;2;9;5;7;8;3;7;2;10;man
Hop;Telefonní èíslo;3;9;6;6;3;-;-;-;10;10;4;-;man
Vítek;Tragédi, Zblitek, Do hlavy ne, Tamara;;;;2;2;1;10;8;3;7;9;8;man
Wizy;Zbytek, Hrana, Poivaèní Samci;;;;;2;1;4;9;8;8;10;8;man
Duo;Odpad B ;;;;;;;;5;19;14;-;10;man
Tomino;Hanebáci;;;;;;;7;7;5;14;4;10;man
Dave;Válcovny, Tragédi, Zblitek;4;3;-;3;9;9;-;;6;-;4;7;man
Bumbi;Telefonní èíslo;3;11;2;-;3;3;6;-;-;7;4;6;man
Ondráš;Meteos, Kosmodisk;-;-;-;-;-;-;-;2;4;8;12;16;man
Rak;Hot Dogs, Teï jsme pøišli;-;0;6;3;6;10;7;3;5;1;-;-;man
Vojta;Tamara, Hot Dogs, Za Zenitem;-;3;0;4;3;6;1;3;7;6;4;3;man
Fanısek;Praskı vıbìr , DIK;1;-;-;-;-;1;4;9;14;-;-;9;man
Honni;Odpad B ;;;;;;;2;2;10;11;2;10;man
Klíša;Hot Dogs, , Díra v Tichu;;;;;;1;3;1;11;8;4;9;man
Kuba;Tragédi, Rumíci, Zblitek, Tamara, Díra v tichu, Hot Dogs;;;;;;;1;13;6;9;5;3;man
Marek;Topinambur, Mao;-;-;4;8;-;0;5;12;-;-;6;-;man
Xall;A je to Ch, Ufobazar;;;;13;8;8;-;6;-;-;-;-;man
Radek;Praskı vıbìr, Š-moulové;-;-;-;-;-;-;-;5;12;-;13;5;man
Slave;Šampátka, Teï jsme pøišli, Telefonní èíslo;-;-;3;9;-;1;-;0;-;7;6;8;man
Høib;Odpad;;;;;5;1;4;3;8;9;1;3;man
Tomáš;Tome;;;;;;12;15;-;5;-;-;-;man
Roman;Meteos,  Kosmodisk;;;;;;;;3;8;7;3;11;man
Malamut;Odpad;1;1;2;4;5;2;5;3;2;3;0;4;man
Alf;Jak za mlada;;;;;;;;3;9;7;12;-;man
Frim;A je to Ch, Ufobazar, Chlupaté bestie;;;;7;9;3;6;6;-;-;-;-;man
Štyrla;Orion, Kompas;14;1;-;1;-;-;-;6;-;8;-;-;man
Bob;Telefonní èíslo;0;1;0;1;4;3;3;1;2;7;3;5;man
Tomík;Samovi dìti, Praskı vıbìr;16;8;-;-;-;5;-;-;-;-;-;-;man
Vojta;Kompas, Orion, Hot Dogs, Telefonní èíslo;6;8;-;5;5;1;-;-;4;-;-;-;man
Wincek;Topinambur;;;;1;-;3;8;4;4;5;4;-;man
Filip;Zblitek, Pouité Samice, Tamara;;;;;2;1;4;5;-;2;5;10;man
Èmelda;Telefonní èíslo;-;-;3;8;5;5;-;-;6;-;-;-;man
Táda;Hanebáci;;;;;;;6;3;8;0;5;5;man
Ananas;Hot Dogs, Do hlavy ne;;;0;4;2;1;4;3;4;-;6;-;woman
Sam;Samovy dìti, Š-moulové;10;-;-;-;-;5;-;3;3;3;-;-;man
Bobek;Samovy kolena, Za Zenitem, Š-moulové;-;6;-;-;-;-;-;-;7;-;8;3;man
Atom;Dvanáctka;-;-;2;5;-;11;6;-;-;-;-;;man
Fritol;Odpad;;;;5;-;;0;-;2;-;9;7;man
Špalek;Teï jsme pøišli, telefonní èíslo;;;;;;1;2;7;1;4;6;1;man
Onïas;Zabíjácké Veverky;-;5;-;11;6;-;-;-;-;-;-;-;man
Jeff;Olihnì;;;;;;;;;;;9;12;man
Sirka;NIKA, Díra v Tichu, Hot Dogs;;;;1;0;1;0;3;2;7;5;2;woman
Rob;Hot Dogs, Dvanáctka, Orion;-;0;5;2;-;-;2;1;-;10;-;1;man
Vašek;Dvanáctka;-;-;8;4;-;6;3;-;-;-;-;;man
Alwar;A je to Z, Ufobazar;-;-;2;7;1;5;3;-;2;-;-;-;man
Bagr;Jak za mlada;;;;;;;;2;6;0;5;7;man
Šimon;Hanebáci;;;;;;;2;4;4;4;3;3;man
Grg;Jak za mlada;;;;;;;;;1;3;5;10;man
Ïáblík;Do hlavy ne;2;10;7;-;-;-;-;-;-;-;-;;man
Pingu;Šampátka;-;-;-;6;13;;-;-;-;-;-;;man
Viktor;Orion, Dvanáctka;-;2;1;-;-;4;-;-;4;8;-;;man
Bludièka;Odpad B ;;;;;;;3;5;3;6;0;1;woman
Èokta;Mallorn, Válcovny;5;7;3;2;-;-;-;-;-;-;-;-;man
Standa;Jak za mlada;;;;;;;;3;8;6;-;-;man
Baron;Dvanáctka, Kafé, Pouité Samice;-;-;1;0;4;3;1;-;3;5;-;;man
Ithrig;Chlupaté bestie;;;;;;;4;-;6;-;7;;man
Klokan;Hrana, A je to V, Chlupaté bestie;-;3;-;1;-;4;8;-;-;-;-;-;man
Viktor M.;Zabíjácké Veverky;-;2;-;0;14;-;-;-;-;-;-;;man
Lumek;12tka, Tamara, Pouité Samice;0;0;0;2;0;-;0;3;0;3;4;3;man
Vlèa;Orion, Hot Dogs;1;2;0;0;2;1;-;1;4;3;-;-;woman
Èiperka;Telefonní èíslo;5;9;-;-;-;-;-;-;-;-;-;;man
Jodzi;Telefonní èíslo;-;-;3;4;2;-;-;3;2;-;-;;man
Rolf;Telefonní èíslo;2;7;4;1;-;;-;-;-;-;-;;man
Smolda;Topinambur;-;3;0;6;-;2;0;0;1;2;0;;man
Jáchym;Zblitek, Lax Ducks, Válcovny;;;;;;3;0;-;6;-;2;2;man
Kuòka;Telefonní èíslo;;;;;;;9;-;4;-;-;;man
Gambit ;Tamara, Válcovny;-;1;6;3;2;-;-;-;-;-;-;-;man
Bystøa;Jak za mlada;;;;;;;;;;6;2;4;man
Schepet;Ufobazar;;;;;;;;;2;6;3;1;woman
Kuba;Šampátka, Teï jsme pøišli;;;;3;3;5;-;-;-;-;-;-;man
Dave;Jak za mlada;;;;;;;;;;2;4;5;man
Betul;NIKA, Kafé;;0;0;3;2;3;3;0;-;-;-;;woman
Malej;Šampátka, Telefonní èíslo, Dvojka B, 2a2;;;;;;1;0;7;3;-;-;;man
Pírko;Šampátka , Dvojka B;;;;;;6;-;5;-;-;-;;man
Ferin;Odpad A;;;;;;;;1;2;1;1;5;woman
Kovik;Hot Dogs, Orion;-;2;-;1;-;-;2;-;2;0;-;3;man
Klièka;Jak za mlada, Tamara;;;;;;;;1;-;3;4;2;woman
Gaspacho;UFB;;;;;;;;;;10;-;;man
Huèka;Samovy dìti;10;-;-;-;-;-;-;-;-;-;-;;man
Kája;Aštar, Topinambur;-;1;0;-;-;2;0;-;5;2;-;;man
Neville;Tragédi, Zblitek;;;;2;2;1;5;-;-;-;-;;man
